186,233
908,287
548,34
735,810
315,110
167,164
385,430
846,541
181,889
151,736
236,722
849,688
470,661
939,911
342,581
168,34
272,184
33,408
373,29
820,581
663,85
368,803
246,12
366,170
361,792
755,170
75,117
468,331
306,774
31,577
202,623
957,693
356,233
573,53
815,438
291,775
584,330
585,340
753,179
340,186
551,841
451,862
360,475
785,112
126,644
852,628
647,730
741,956
658,378
625,814
391,213
657,469
829,82
200,756
594,392
846,600
693,515
328,392
294,62
800,957
659,400
282,625
606,872
327,591
874,946
166,168
935,911
10,382
845,638
827,408
889,26
544,754
564,318
394,529
424,463
688,464
7,144
327,496
208,761
375,494
494,813
484,244
270,948
181,309
227,34
264,842
453,76
608,350
188,61
318,461
178,482
989,885
302,426
773,267
936,757
625,674
685,344
130,722
435,821
901,953
43,437
426,818
558,229
714,20
219,697
35,315
388,822
800,173
215,456
266,653
557,254
323,764
334,820
700,769
883,39
750,124
269,438
364,235
297,225
86,883
515,468
559,329
893,230
361,862
464,770
829,743
247,168
845,999
178,205
717,636
205,221
982,56
727,352
548,267
254,467
732,344
937,727
277,113
849,936
235,800
280,543
646,172
690,820
915,92
617,309
42,830
68,504
408,808
621,524
954,936
272,327
892,166
376,547
378,578
717,894
370,757
224,950
769,405
690,284
762,956
946,918
169,143
619,50
264,984
100,413
994,196
714,116
684,16
838,331
709,958
110,8
772,667
338,116
501,832
437,962
696,979
9,192
554,616
30,721
772,128
698,603
279,377
990,363
129,785
344,277
18,300
963,614
493,995
104,477
266,499
70,265
149,673
980,723
296,580
703,463
879,815
537,847
272,147
273,796
328,544
282,30
804,543
459,171
940,801
35,269
305,494
476,98
362,576
516,6
33,836
889,497
540,355
75,650
387,404
429,271
4,295
314,71
227,116
920,488
445,169
850,768
975,648
739,3
987,705
32,843
205,875
125,905
534,156
715,816
943,551
377,573
604,355
989,894
880,435
756,579
566,547
495,991
263,976
931,424
524,580
965,740
798,808
459,333
232,700
672,124
906,766
124,100
291,225
695,912
107,325
420,90
829,199
788,32
938,939
471,231
357,715
363,351
736,726
424,931
498,521
304,781
653,617
554,373
785,792
274,526
902,743
984,6
50,780
84,178
192,272
146,743
144,263
779,786
493,783
887,471
894,215
459,976
28,695
216,751
429,336
901,402
857,754
391,635
827,479
574,198
958,749
909,989
335,476
96,486
10,361
434,932
743,449
748,69
480,440
440,966
859,442
639,833
944,384
784,455
929,594
412,433
594,974
412,344
422,115
393,527
403,544
451,642
884,993
313,520
27,441
137,10
27,820
537,365
375,965
131,498
305,561
653,813
618,844
741,816
749,424
264,517
553,766
955,603
719,986
239,213
41,239
959,212
736,969
215,182
693,807
570,570
588,618
640,144
294,132
694,61
537,218
521,737
661,0
120,248
216,960
901,709
441,205
695,534
425,246
496,868
553,149
363,979
88,15
965,455
745,447
976,748
923,543
307,716
194,491
710,19
192,518
374,99
265,277
714,527
334,372
377,968
138,872
559,957
312,305
53,21
391,956
540,465
146,188
632,112
90,876
556,593
680,286
223,912
474,432
177,422
791,269
110,485
271,543
781,224
599,944
792,63
579,819
388,993
274,121
924,466
627,571
688,317
720,99
142,670
533,661
60,18
541,517
457,326
231,496
474,499
267,830
738,929
122,71
909,462
267,877
869,706
296,845
384,145
360,84
44,966
283,709
29,892
700,214
799,352
52,306
338,148
268,960
723,363
234,14
545,688
93,433
813,588
125,792
236,896
407,916
726,577
151,33
203,236
675,369
58,431
440,908
152,481
447,431
194,708
85,823
939,235
819,272
549,236
379,751
949,225
649,658
515,567
462,199
848,936
712,698
380,140
412,9
968,308
843,605
116,267
183,229
610,268
624,690
986,865
53,40
136,265
393,366
764,844
601,170
82,580
675,938
523,448
934,55
576,984
834,449
446,452
459,920
108,301
952,426
862,138
461,174
207,498
679,412
797,916
318,17
681,528
543,633
680,608
446,476
348,275
26,305
655,329
942,339
378,123
285,782
38,243
383,873
751,78
492,749
366,803
551,937
951,309
501,396
236,883
562,562
727,445
506,2
3,776
174,772
96,712
281,100
45,79
853,917
478,486
511,444
