24,65,33,38
16,41,77,96
41,9,65,71
46,57,98,17
9,94,4,28
2,72,75,56
66,37,11,8
50,98,64,5
3,97,51,18
66,33,40,0
81,89,30,17
24,98,29,45
10,24,32,85
80,95,25,97
54,91,92,20
74,99,19,92
99,48,94,71
60,53,82,73
84,34,27,70
38,67,24,96
54,89,48,85
53,94,51,57
87,12,57,75
22,0,98,16
45,0,76,7
44,13,33,75
58,57,39,58
65,62,2,86
31,56,29,32
70,55,46,44
13,72,95,52
82,18,56,59
6,91,92,9
29,84,89,38
66,63,58,62
89,54,87,51
18,93,38,84
18,50,40,39
86,53,61,98
26,99,96,78
57,34,91,87
22,70,97,72
55,46,9,14
36,89,59,1
50,64,63,76
39,74,77,63
38,68,71,26
47,24,35,18
64,61,43,84
67,67,63,93
5,8,94,73
54,29,65,1
78,30,58,46
49,48,41,66
83,43,69,93
34,35,5,5
74,81,34,54
49,41,21,36
22,94,42,36
94,74,90,60
7,92,62,38
60,57,47,35
11,55,59,77
90,96,46,89
31,44,72,55
26,73,70,58
21,76,63,54
15,55,59,43
98,55,2,39
70,86,43,90
23,15,12,4
32,99,34,69
89,29,78,24
8,30,99,63
61,25,75,93
69,28,69,62
78,56,60,43
55,7,95,60
8,8,3,84
85,60,76,7
75,19,24,7
11,86,54,89
19,4,32,96
23,15,95,25
66,76,1,86
48,52,65,72
57,71,82,21
24,90,69,87
90,62,19,75
13,84,28,84
70,75,74,28
1,92,50,73
37,39,79,22
48,93,3,94
63,51,98,52
5,71,12,31
60,94,30,80
7,24,19,8
58,73,90,95
65,25,89,83
89,35,95,27
93,15,80,91
34,90,51,31
16,46,3,2
95,36,30,43
77,40,56,44
23,98,74,56
88,71,19,49
97,58,4,47
47,59,3,88
61,52,26,82
20,56,97,60
92,72,19,68
92,4,89,40
38,6,81,35
57,67,34,18
3,69,24,88
73,94,22,14
16,15,51,16
79,69,71,87
38,95,7,87
3,23,9,79
26,26,22,32
40,79,77,99
41,43,42,33
79,68,60,15
39,11,25,72
73,42,22,36
62,97,35,67
30,81,31,95
7,36,71,19
14,61,14,43
17,46,91,76
48,13,92,98
62,84,54,24
39,34,79,81
55,41,36,24
54,4,6,66
10,76,36,50
54,47,12,15
43,17,15,15
38,91,14,32
15,0,90,59
78,58,95,97
31,10,41,97
57,70,36,81
72,24,16,65
38,98,36,39
94,37,78,88
83,67,0,20
